time,setpoint,vstup,vystup
0,0.35,0,0
0.1,0.35,1.31823374054704,0.0175967541188316
0.2,0.35,1.31618737758594,0.0312343171061896
0.3,0.35,1.32582359875287,0.0441614963250336
0.4,0.35,1.33563271925616,0.0573134975872048
0.5,0.35,1.34222276168761,0.0701674115103914
0.6,0.35,1.34752194470517,0.0829539508723439
0.7,0.35,1.35071601888999,0.0955356386652025
0.8,0.35,1.35233513932965,0.107957187610776
0.9,0.35,1.35224849386387,0.120175662768799
1,0.35,1.35064717952967,0.132192703013147
1.1,0.35,1.3475622904903,0.143989661677332
1.2,0.35,1.34310102324991,0.15555935131248
1.3,0.35,1.33733083643603,0.166890434959585
1.4,0.35,1.33033613631109,0.177975028797663
1.5,0.35,1.32219040378565,0.188804926972354
1.6,0.35,1.31296977945888,0.199373403542058
1.7,0.35,1.30274633589832,0.209674280707188
1.8,0.35,1.29159131546055,0.219702337192297
1.9,0.35,1.27957349157659,0.229453059944547
2,0.35,1.26675992841519,0.238922718030039
2.1,0.35,1.25321557259259,0.248108278975356
2.2,0.35,1.23900342473283,0.257007402786623
2.3,0.35,1.22418443381732,0.265618398404584
2.4,0.35,1.20881753411224,0.273940199144246
2.5,0.35,1.19295961858401,0.281972329455901
2.6,0.35,1.1766655495088,0.289714876618972
2.7,0.35,1.159988156603,0.297168460744319
2.8,0.35,1.14297824671927,0.304334206375937
2.9,0.35,1.12568461302359,0.311213714119059
3,0.35,1.10815404928437,0.31780903310224
3.1,0.35,1.09043136622706,0.32412263391067
3.2,0.35,1.07255941116757,0.330157382198267
3.3,0.35,1.0545790900562,0.335916512903313
3.4,0.35,1.03652939209094,0.341403605127932
3.5,0.35,1.01844741656228,0.346622557672247
3.6,0.35,1.0003684018422,0.351577565245247
3.7,0.35,0.982325756314243,0.356273095356337
3.8,0.35,0.964351091105462,0.360713865897748
3.9,0.35,0.946474254457073,0.364904823422418
4,0.35,0.928723367589613,0.368851122122272
4.1,0.35,0.911124861916444,0.372558103509352
4.2,0.35,0.89370351746781,0.376031276801285
4.3,0.35,0.876482502390888,0.37927630001095
4.4,0.35,0.859483413397067,0.382298961739042
4.5,0.35,0.842726317032199,0.385105163666896
4.6,0.35,0.826229791650655,0.387700903745847
4.7,0.35,0.81001096997879,0.390092260078258
4.8,0.35,0.794085582158327,0.392285375484321
4.9,0.35,0.77846799916486,0.394286442747783
5,0.35,0.763171276501492,0.396101690532841
5.1,0.35,0.748207198072222,0.397737369963576
5.2,0.35,0.733586320144351,0.399199741856566
5.3,0.35,0.719318015313663,0.400495064596537
5.4,0.35,0.705410516390646,0.401629582644279
5.5,0.35,0.691870960130351,0.402609515665419
5.6,0.35,0.678705430732815,0.403441048268092
5.7,0.35,0.665919003045171,0.404130320337023
5.8,0.35,0.653515785400693,0.404683417951106
5.9,0.35,0.641498962034041,0.405106364871102
6,0.35,0.629870835015922,0.405405114583762
6.1,0.35,0.618632865654187,0.405585542888327
6.2,0.35,0.607785715312145,0.405653441011081
6.3,0.35,0.597329285598487,0.405614509233407
6.4,0.35,0.587262757886753,0.40547435101858
6.5,0.35,0.577584632125686,0.405238467622385
